LAKENAME,Year,NTL,PTL,Tot_Sdep,OmWs,AgKffactWs,Depth
Marl Lake,2007,2.733197265,0.77815125,0.761391962,1.202488317,0,1.230448921
Cochiti Lake,2007,2.434568904,1.431363764,0.393927651,0.19554092,0.004305229,1.411619706
Keystone,2007,3.070037867,2.499687083,0.555983434,0.213768142,0.042653413,1.26599637
North Twin Lake,2007,2.532754379,2.330413773,0.46279048,0.173186268,0,0.041392685
Unnamed Lake,2007,3.758078822,2.701567985,0.559156425,0.266084949,0.091750677,0.380211242
Becker Lake,2007,2.807535028,1.301029996,0.401195579,0.240610636,0,0.716003344
Twin Reservoir,2007,3.132579848,1.886490725,0.312104757,0.201397124,0.003245121,0.301029996
Ashley Lake,2007,2.037426498,0.77815125,0.292993135,0.1923529,0,1.645913275
Pena Blanca Lake,2007,3.349277527,1.568201724,0.381845812,0.08625328,0,0.986771734
Wheatfields Lake,2007,2.669316881,1.755874856,0.493327132,0.043654073,0,0.77815125
West Hill Pond,2007,2.195899652,0.698970004,1.039071024,0.620944665,0.000671303,1.29666519
Upper Twin Lakes,2007,1.919078092,0.602059991,0.31742486,0.399603997,0,1.534026106
Palestine Lake,2007,2.883093359,1.531478917,1.113171129,0.62862292,0.093397568,0.897627091
Clear Creek Lake,2007,3.064083436,2.240549248,0.775081916,0.336459734,0.116390688,0.230448921
Noxontown Pond,2007,2.989449818,1.86923172,1.180745311,0.187520721,0.106619037,0.204119983
Plum Lake,2007,2.46834733,0.903089987,0.630146613,1.126644462,0.000170606,1.225309282
Miller Creek Reservoir,2007,2.953759692,1.84509804,0.539455264,0.318631938,0.051434304,1.084576278
Princes East,2007,2.53529412,1.230448921,1.208311006,0.199502465,0.017428126,0.86332286
Lake Nephawin,2007,2.344392274,1.113943352,1.303003607,0.227886705,0.035856722,1.017033339
Sebasticook Lake,2007,2.564666064,1.230448921,0.774041641,1.068140798,0.010304241,1.255272505
