LAKENAME,Year,NTL,PTL,Tot_Sdep,OmWs,AgKffactWs,Depth
Sam Rayburn,2007,2.456366033,0.602059991,0.890817613,0.206687834,0.02185672,1.240549248
Kirwin Reservoir,2007,3.123851641,2.471291711,0.460824731,0.159147153,0.065964134,0.886490725
Camp Seneca Lake,2007,3.169674434,1.949390007,1.501440434,0.13269029,0.043066538,0.579783597
Indian Lake,2007,2.667452953,1.361727836,0.908601261,0.178414204,0.052675697,0.924279286
Cle Elum Lake,2007,1.462397998,0.301029996,0.389547736,0.385882184,0,1.307496038
Lake of the Woods,2007,2.235528447,0.301029996,0.320052627,0.497201672,0,1.214843848
Lake Winnebago,2007,3.148294097,2.209515015,0.762125511,1.045403658,0.038757083,0.698970004
Grass Lake,2007,3.073351702,2.889301703,0.571663944,0.400354651,0.073809367,0.62324929
Ice Lake,2007,1.838849091,0.602059991,0.265025108,0.072369187,0,1.462397998
Echo Lake,2007,2.609594409,0.954242509,0.724715685,1.120902818,0.000172724,0.414973348
Horse Creek Reservoir,2007,3.4448252,2.725094521,0.296097663,0.176862401,0.083174525,0.897627091
,2007,3.59670703,1.968482949,0.646081213,0.270187169,0.019705654,0.414973348
Pennoyer Farm Pond,2007,2.437750563,1.176091259,0.870112913,0.132281387,0.003985608,0.447158031
Lake Mary Ronan,2007,2.46834733,0.954242509,0.277526121,0.171138405,0.001202233,1.089905111
Alkaline Lake,2007,3.398634325,1.959041392,0.593261253,0.300617182,0.027731971,0.633468456
Spencer Dam Reservoir,2007,2.823474229,2.235528447,0.478433395,0.202101508,0.009592084,0.397940009
Quivira Lake,2007,2.419955748,0.954242509,0.82872483,0.359965712,0.007808536,0.903089987
Highland Lake,2007,3.234010818,2.041392685,1.14684992,0.558187441,0,0.531478917
Alruss,2007,2.36361198,0.698970004,0.583697071,0.588831726,0,1.127104798
O'Shaughnessey Reservoir,2007,3.810904281,2.352182518,1.201588094,0.474202691,0.111579684,1.079181246
,2007,3.889357737,2.86569606,0.57258247,0.335043481,0.00956242,0
Lake Mattoon,2007,3.123524981,2.103803721,1.063969758,0.31145761,0.099459969,0.886490725
North Ash Lake,2007,3.176380692,2.28780173,0.684335443,0.348304863,0.079951638,0.176091259
Lake Hickory,2007,2.075546961,1,0.863467352,0.219347982,0.011440517,1.307496038
Moon Lake,2007,2.747411808,1.806179974,0.962243939,0.364204125,0,0.698970004
Powderhorn,2007,3.017867719,1.301029996,1.111329398,0.136720567,0,0.69019608
Oaks Park Reservoir,2007,2.424881637,1.230448921,0.425112762,0.193882634,0,0.806179974
Kettle Brook Reservoir #1,2007,2.503790683,1,1.004759478,0.252853031,0.007102971,0.414973348
Laguna Madre,2007,2.63748973,1,0.304567313,0.171849345,0,0.431363764
Wononpakook Lake,2007,2.499687083,1.255272505,1.060715344,0.678977332,0.034880857,0.875061263
Blue Ridge,2007,2.527629901,1.113943352,0.492810424,0.108568203,0,1.283301229
Thornapple Lake,2007,2.802773725,1.819543936,1.036212322,0.916926507,0.065320586,0.973127854
Crooked Lake,2007,2.703291378,0.301029996,1.117820929,0.779807539,0.035403484,1.413299764
Flat Lake,2007,2.91750551,1.397940009,0.62592901,0.690355166,0.000572334,0.740362689
Lake Palmdale,2007,2.916453949,1.662757832,0.221877658,0.112298586,0,0.886490725
,2007,2.88592634,1.77815125,0.695824102,0.69019608,0.014212349,0.255272505
Struble Lake,2007,2.860338007,1.785329835,1.219725822,0.170842577,0.069588925,0.653212514
Windsor Lake,2007,3.15075644,2.889861721,0.270169759,0.126799484,0.003282747,0.991226076
Mother Lake,2007,3.841046465,2.385606274,0.430831483,0.158208202,0.000118309,0.146128036
Lamb Lake,2007,2.699837726,1.079181246,0.589468706,0.588831726,0,0.716003344
River Reservoir,2007,2.812244697,2.113943352,0.598252745,0.190784498,0,0.568201724
Lake McDonald,2007,2.352182518,0.602059991,0.436233451,0.292450431,6.45472E-06,1.692846919
,2007,3.487138375,2.089905111,0.539204617,0.178515102,0.00073928,0.505149978
Lake Au Sable,2007,2.733999287,0.954242509,0.936724008,1.296611989,0.001820958,1.176091259
Fletcher Lake,2007,2.891537458,1.079181246,1.125078659,0.390935107,0.067748347,1.056904851
Sportsman Lake,2007,2.62838893,1.380211242,0.816919761,0.198218938,0.005511116,0.944482672
Crystal Lake,2007,2.29666519,0.301029996,0.623159622,1.130660753,0.000691058,1.247973266
Clark Lake,2007,2.664641976,0.77815125,1.068754072,1.173186268,0.013054254,1.190331698
Lost Creek Reservoir,2007,2.382017043,0.84509804,0.390033079,0.412456791,3.7091E-05,1.591064607
Woodland Lake,2007,2.383815366,0.698970004,1.205474216,0.158362492,0.029421185,0.886490725
Long Pond,2007,2.475671188,0.698970004,0.827618761,0.716889085,8.17943E-05,1.414973348
Lake Jennie,2007,3.123524981,1.84509804,0.670292216,0.844159968,0.066595898,0.477121255
Lake Rim,2007,2.517195898,1.397940009,0.820513398,0.145956507,0.001355123,0.431363764
Mutton Lake,2007,3.43806745,2.127104798,0.984846202,1.382751069,0.034048155,0.176091259
Beaverdam Lake,2007,2.401400541,1,0.82095823,0.13685107,0.024142536,0.255272505
Dean Lake,2007,2.127104798,0.602059991,0.499349692,0.330413773,0,1.079181246
Anawana Lake,2007,2.450249108,1,1.112718141,0.267465613,0.004939745,0.903089987
Fern Ridge Lake,2007,1.986771734,0.602059991,0.405612767,0.522775589,0.020806309,0.72427587
Soil Conservation Service Site 6 Reservoir,2007,2.99343623,2.184691431,0.749078545,0.40012588,0.010716395,0.342422681
Koontz Lake,2007,2.877371346,1.431363764,1.137565503,0.261828525,0.045527271,0.949390007
Round Lake,2007,2.786751422,1,0.66146114,0.636487896,0.029024254,1
Whitewater Lake,2007,2.922725458,1.653212514,1.264365306,0.257741138,0.091325555,1.068185862
Hamilton Lake,2007,2.36361198,1.041392685,0.777235117,0.167206465,0.014832577,1.477121255
McDonald,2007,2.921686475,1.255272505,0.750922198,1.541454429,0,0.342422681
Round Lake,2007,2.382017043,1.079181246,0.714848524,0.548818765,0.069637936,0.84509804
,2007,3.127428778,2.26245109,0.71154478,0.558708571,0.063001232,0.51851394
Pocono Lake,2007,2.641474111,1.361727836,1.302031645,0.316405191,0.000201655,0.653212514
Douglas Pond?,2007,3.621695462,1.880813592,0.678743635,0.410131395,0.07044553,0.146128036
Calispell,2007,2.738780558,1.812913357,0.273296132,0.256841433,5.05383E-05,0
Lake Louise,2007,3.57921178,2,0.540030242,0.241939626,0.02433424,0.342422681
Cedar Lake,2007,2.680335513,1.505149978,0.942959515,0.100370545,0.004420309,0.342422681
Long Pond,2007,2.593286067,1.113943352,1.068616985,0.106217601,0.000156729,0.812913357
Rice Lake,2007,3.607883744,2.626340367,0.760592775,0.556881408,0.039615551,0.255272505
Greenville Reservoir #5,2007,2.790285164,1.380211242,0.834995525,0.47560187,0.015347308,0.740362689
Kokomo Reservoir No. 1,2007,2.688419822,0.954242509,1.089323536,0.184691431,0.024149685,0.799340549
,2007,2.684845362,1.113943352,0.964191137,0.161368002,0.090322971,0.908485019
Bentley Lake,2007,2.703291378,1.72427587,0.337673856,0.121134307,0,0.278753601
Pleasant Lake,2007,2.120573931,0.301029996,0.785891555,0.445112554,0.002204033,1.269512944
East Woodcock Lake,2007,3.519827994,2.071882007,0.650421965,0.786751422,0.025240043,0.477121255
Upper Clear Boggy Creek Site 9 Reservoir,2007,2.8876173,2.152288344,0.75195773,0.425263163,0.022790406,0.826074803
Little Elkhart Lake,2007,2.929418926,1.079181246,0.829345081,0.641333394,0.039444558,0.851258349
Waldron Lake,2007,2.977723605,1.633468456,1.115735521,1.094737603,0.062704876,1.127104798
Red Deer Lake,2007,3.576686805,2.404833717,0.503403858,0.173186268,7.13529E-05,0.322219295
Catfish Lake,2007,2.775974331,1.414973348,0.871633871,1.266231697,0,0.176091259
Grass Lake,2007,4.140696553,3.122870923,0.507043323,0.321906984,0.082661849,0.041392685
,2007,2.540329475,1.322219295,0.745659751,0.480217288,0.000496099,0.602059991
Stoner Lake,2007,2.85308953,1.230448921,0.936969018,0.58546073,0.052829268,0.176091259
Brooklyn Lake,2007,2.113943352,1,0.483638782,0.695801315,0,0.977723605
Adams-McGill Reservoir,2007,3.006466042,1.51851394,0.2032398,0.266376685,0.003518813,0.041392685
Mayo Lake,2007,2.897077003,1.531478917,0.618555005,0.760719513,0.027126149,0.62324929
Bullock Pen Lake,2007,2.657055853,1.531478917,1.206516637,0.186794319,0.062192445,0.86923172
Lucky Reservoir,2007,3.348110068,2.970346876,0.115058892,0.372647523,0,0.176091259
Hawthorn Lake,2007,2.996073654,1.84509804,0.872414558,0.267007069,0.075146879,0.880813592
Lake Greenhaven,2007,3.281487888,2.810904281,0.33328945,0.463892989,0,0.591064607
Upper Dinwoody Lake,2007,2.350248018,1.204119983,0.444399727,0.12740135,2.27422E-06,0.763427994
Welsh Lake,2007,3.548389418,2.781755375,0.710293586,0.408239965,0.053423633,0.230448921
Musquash,2007,2.456366033,0.698970004,0.681193147,0.655590354,0,0.880813592
Devils Lake,2007,3.293583513,2.482873584,0.504699206,0.316542046,0.086914968,1.06069784
San Gregorio Lake,2007,2.696356389,1.612783857,0.569001499,0.161664083,0,0.531478917
Antelope Lake,2007,2.603144373,0.698970004,0.29018224,0.187520721,0,0.977723605
Spring Lake,2007,3.005609445,1.838849091,0.683717423,0.694526295,0.062538799,0.740362689
Navajo Reservoir,2007,2.257678575,0.77815125,0.431766901,0.341098508,0.004287852,1.685741739
Millwood Lake,2007,2.792391689,1.939519253,0.80659803,0.203007064,0.019029613,1
Sherwood Lake,2007,2.597695186,1.255272505,0.751475195,0.361727836,0.060427783,0.944482672
Mims Lake,2007,2.869818208,2.1430148,0.279270721,0.033423755,0.00121205,0.079181246
Saddle Mountain Lake,2007,3.092018471,1.255272505,0.113011388,0.13724592,0.021848136,0.62324929
Conchas Lake,2007,2.361727836,0.77815125,0.360880951,0.158008799,0.000913575,1.477121255
Upper Sakatah Lake,2007,3.369030222,2.912753304,0.740905479,0.574282557,0.06837247,0.447158031
Crystal Lake,2007,2.459392488,0.77815125,0.921232451,0.111499567,0.001500175,0.812913357
Lake Morris,2007,3.416141031,2.431363764,0.980038291,0.223737684,0.058194397,0.176091259
Heggs,2007,3.680516809,2.383815366,0.574515776,0.397059224,0.054833092,0.477121255
Joe's Valley Reservoir,2007,2.227886705,1.041392685,0.513254258,0.347939689,1.81224E-05,1.431363764
Jordan Lake,2007,2.369215857,1,1.008235346,0.158623749,0.019937394,1.33243846
Goose Lake,2007,2.260071388,1,0.381996499,0.299665879,0,0.531478917
Sly Pond,2007,2.222716471,0.602059991,0.919046514,0.348035079,0,1.173186268
Crooked Lake,2007,2.589949601,0.903089987,0.813767198,0.755408526,0.006599902,1.224014811
Lower Black Bear Creek Site 4 Reservoir,2007,3.055760465,1.977723605,0.819057063,0.345328013,0.021627546,0.361727836
Hailstone Lake,2007,3.635182049,2.26245109,0.386881923,0.247973266,0.039968231,0.146128036
Lake Thomas,2007,3.528016341,2.267171728,0.281299984,0.201397124,0.098635022,0.875061263
Arthur Lake,2007,2.447158031,1.113943352,0.6422356,1.218007993,1.08844E-05,0.568201724
,2007,2.62324929,1.447158031,0.223864928,0.152288344,0,0.397940009
Alpine (Hulls) Lake,2007,2.100370545,0.602059991,1.576500643,0.259735169,0.005685077,0.698970004
Sprinq Lake,2007,2.741939078,1.113943352,0.703770548,1.219462616,0.000676671,0.763427994
South Holston Lake,2007,2.598790507,0.77815125,1.026902331,0.240268362,0.038460831,1.58546073
Lake Minnehaha,2007,2.90579588,1.491361694,0.823248354,0.146128036,0,0.491361694
Bighorn Lake,2007,2.682145076,0.84509804,0.32767263,0.200126976,0.004920431,1.700703717
Lake Maxin Kuckee,2007,2.767155866,0.77815125,1.142228917,0.442610226,0.054410837,1.411619706
Lake Gogebic,2007,2.460897843,1.079181246,0.682484776,1.167514466,2.56773E-05,0.835690571
Kiser Lake,2007,3.067070856,2.037426498,1.230786027,0.199941491,0.088871697,0.602059991
Enders Reservoir,2007,2.866287339,1.785329835,0.424364398,0.268757639,0.071935971,1.079181246
Elaine Lake,2007,3.316599302,2.330413773,0.934960909,0.152288344,0.051914509,0.380211242
Jamesville Reservoir,2007,2.411619706,1.146128036,1.181880443,0.42847341,0.047345669,0.755874856
Rush Lake,2007,3.727459921,2.385606274,0.625744849,0.380237645,0.039921106,0
Steedman Marsh,2007,3.072249898,2.045322979,0.720201981,0.394451681,0,0.113943352
Lake Brandt,2007,2.832508913,1.707570176,0.915157486,0.150185832,0.02275944,0.763427994
Wyckoff Lake,2007,3.026941628,1.602059991,0.890629575,0.761371097,0.04537701,0.77815125
Fort Cobb Reservoir,2007,2.943988875,2.056904851,0.693896714,0.185739241,0.066597655,0.995635195
Deleware Lake,2007,3.336459734,1.903089987,1.225197918,0.365128782,0.105295566,0.73239376
Sunnen Lake,2007,2.540329475,1.278753601,0.936830831,0.114088175,0.010190498,0.84509804
Mystic Lake,2007,2.008600172,0.954242509,0.421548815,0.11193987,0,1.212187604
Stubblefield Reservoir,2007,2.720159303,1.342422681,0.309411101,0.104595011,0,0.851258349
Norway Lake,2007,3.159867847,1.556302501,0.64399519,0.694602801,0.060816166,0.977723605
West Lake,2007,2.997823081,1.414973348,1.07702215,0.796574333,0,0.431363764
Johnson Pond,2007,3.399154334,1.939519253,1.108023855,0.222567261,0.032373119,0.255272505
Darling,2007,2.743509765,1.204119983,0.618733637,0.603421283,0.043570827,1.243038049
Aurora Pond,2007,3.133858125,2.238046103,1.343669478,0.437626018,0.000402145,0.633468456
Lake Woodhaven,2007,2.408239965,1.301029996,0.969939923,0.152288344,0.033080406,0.531478917
Lake Henshaw,2007,3.551449998,2.565847819,0.301180268,0.379308811,4.16688E-05,0.591064607
Howe Lake,2007,2.795880017,1.397940009,0.828107583,0.653212514,0,0
Walker Lake,2007,2.694605199,1.477121255,1.260275601,0.212261018,0.033994348,0.612783857
Boyd Lake,2007,2.591064607,0.903089987,0.295605313,0.206999767,0.041342835,1.10720997
Lake Yale,2007,3.208172527,1.414973348,0.793111062,0.641414383,0.006959395,0.602059991
Bissonnette Pond,2007,2.505149978,1.255272505,1.003059522,0.665003339,0.001044474,0.380211242
Rancho Seco,2007,2.401400541,0.903089987,0.29606789,0.267592125,0,0.968482949
Little Wewoka Creek Site 15 Reservoir,2007,3.062581984,2.053078443,0.764876489,0.222639911,0.010470927,0.505149978
Lums Pond,2007,3.041787319,1.62324929,1.192018734,0.187520721,0.027357055,0.301029996
Mill Creek Watershed 2 Reservoir,2007,2.877946952,1.963787827,0.731121397,0.352043647,0.059687822,0.531478917
Deer Lake,2007,2.661812686,0.77815125,0.838728804,1.150632681,0.008568998,0.740362689
Lake Zurick,2007,3.100715087,1.707570176,1.012312441,0.613611695,0.002995916,0.322219295
LAKE COLEMAN,2007,2.680335513,1.322219295,0.587524548,0.341347826,0.004166368,1.041392685
Big Sand Wash,2007,2.437750563,1.113943352,0.23726061,0.150690181,0.07468299,1.322219295
Baca Lake,2007,3.699837726,3.426673888,0.13313643,0.654623894,0.012501683,0
Torrey Lake,2007,2.359835482,0.698970004,0.399964309,0.545307116,0,0.556302501
Snail Lake,2007,2.881384657,1.146128036,0.829604008,1.084012386,0.000232276,0.851258349
Blue Lake,2007,2.672097858,1.041392685,0.865996038,0.580356417,0.021882683,1.176091259
Red Rock,2007,3.369586891,2.100370545,0.605054641,0.378397901,0.072767033,0.755874856
Youngs Creek Reservoir Number 3,2007,2.633468456,1.579783597,0.451846997,0.12397197,0,0.477121255
Heritage Point Lake,2007,2.893206753,1.361727836,0.837002184,0.210380249,0.098879265,1.086359831
Lake Crowley,2007,2.850646235,1.681241237,0.302216891,0.321832838,6.41839E-05,1.117271296
,2007,3.147676324,2.654176542,0.40356866,0.186073559,0.00043318,0
Beltzville Lake,2007,2.697229343,0.77815125,1.227547962,0.219754822,0.019228144,1.45484486
Brierpatch Lake,2007,2.761175813,2.053078443,0.8628477,0.36361198,0,0.230448921
Lower Twin Lake,2007,2.260071388,0.954242509,0.374470344,0.197431327,0,1.269512944
Sloans Lake,2007,3.276921132,2.264817823,0.435790719,0.227886705,0,0.176091259
Silver Lake,2007,2.133538908,0.602059991,0.245837678,0.248902361,0,1.318063335
Lake Nichols,2007,3.041392685,1.908485019,0.703460148,0.234189711,0.023567335,0.113943352
Meadow Creek Reservoir,2007,2.439332694,1.146128036,0.512765073,0.183109801,0,1.271841607
Horsehead Lake,2007,2.025305865,1.079181246,0.790917535,0.2901498,0.01149597,1.113943352
Ford Lake,2007,3.030194785,1.792391689,1.061269723,1.056257018,0.024605729,1
Tri-County Turkey Creek Site 7 Reservoir,2007,3.532754379,2.206825876,0.516258833,0.251592063,0.077394198,0.230448921
Lewis Lake,2007,2.858537198,1.278753601,0.325164653,0.546542663,0,0.397940009
Bischoff Reservoir,2007,2.880241776,1.62324929,1.260728992,0.160168339,0.088738766,0.806179974
Soil Conservation Service Site 6 Reservoir,2007,2.552668216,1.230448921,0.657286424,0.311345285,0,0.204119983
Round Lake,2007,2.684845362,1.255272505,1.115048399,0.53529412,0.067564534,1.283301229
Lake Wappapello,2007,3.079181246,1.838849091,0.949029632,0.146330141,0.023431381,0.612783857
Snyder Lake,2007,3.225567713,2.496929648,0.34241816,0.139728795,0.000270844,0.301029996
,2007,3.387567779,2.815577748,0.483160783,0.231401938,0.058798287,0.397940009
Richmond,2007,3.160468531,2.572871602,0.526829385,0.292997539,0.082899545,0.819543936
Upper Scott,2007,2.927370363,1.531478917,1.05581738,0.362898356,0.000330651,0.255272505
Breckinridge Reservoir,2007,2.531478917,1.176091259,1.063729185,0.145110021,0.002584435,0.929418926
Treasureton Reservoir,2007,3.130976692,2.056904851,0.330757827,0.429602708,0.021579378,0.447158031
Dave Boyer Lake,2007,2.986323777,2.198657087,0.663164087,0.363664991,0.030586873,0.643452676
Swan Lake,2007,3.715334684,2.769377326,0.72892143,0.445353984,0.079269624,0.176091259
Rye Patch Reservoir,2007,2.812913357,1.748188027,0.206199021,0.246080582,0.004264624,1.155336037
Storey Lake,2007,3.792671789,1.77815125,0.967406773,0.343843852,0.071827741,0.991226076
Round Lake,2007,2.1430148,0.954242509,0.30249227,0.20633547,0.003649304,1.041392685
Lake Habeeb,2007,2.403120521,0.301029996,1.240248627,0.222619241,0.012549708,1.089905111
Little Wall Lake,2007,3.348110068,1.84509804,0.834004323,0.47361157,0.015196133,0.531478917
Hert Lake,2007,2.67669361,1.301029996,1.175092542,0.059202771,0.00411534,0.785329835
Lower Middle Branch,2007,2.44870632,0.954242509,0.838234106,0.416548527,0.000241936,0.462397998
Lake O' the Pines,2007,2.930949031,1.633468456,0.968233056,0.207080359,0.036350468,1.004321374
Glade Creek (Upper),2007,2.421603927,1.041392685,1.242278853,0.218693401,0.051926274,0.819543936
Sixtyseven Reservoir,2007,2.542825427,1.230448921,0.205625223,0.137253722,0.005322217,0.838849091
Lake Hobart,2007,3.064457989,2.209515015,0.644530494,0.165157639,0.073144834,0.447158031
Ford Supply Lake,2007,2.881384657,2.064457989,0.552227986,0.175831394,0.026945235,0.477121255
Reedy Lake,2007,2.990782692,1.361727836,0.791943297,0.747963569,0.009186139,0.602059991
,2007,3.398634325,2.334453751,0.585882126,0.435890122,0.072898935,0.832508913
Montrose Lake,2007,3.128722284,2.408239965,0.815489124,0.299859766,0.112326763,0.544068044
Show Low Lake,2007,2.685741739,1.230448921,0.570190214,0.265221755,5.48208E-05,1.075546961
,2007,3.026533265,2.045322979,0.45890302,0.175653004,0,0.278753601
James Lake,2007,2.700703717,0.903089987,1.115556026,0.889518208,0.043831139,1.414973348
Stump Pond,2007,2.568201724,0.903089987,1.024367816,0.572396186,0.001258045,0.342422681
Watson Lake,2007,2.873320602,2.103803721,0.331825118,0.058977873,0,0.785329835
Union Reservoir,2007,2.59439255,1.278753601,0.27358961,0.179262634,0.082793181,0.929418926
Roundup Lake,2007,4.416657147,3.173768823,0.428461126,0.130333768,0,-0.15490196
McCann Reservoir,2007,3.005180513,1.806179974,0.383504423,0.25266951,0,0.77815125
Apache Lake,2007,2.67669361,1.278753601,0.473409024,0.170529873,2.12444E-05,1.418301291
Lake Bistineau,2007,2.698100546,1.812913357,0.813448866,0.251501377,0.008096092,0.698970004
Fossil Lake,2007,1.69019608,0.602059991,0.599598287,0.401382985,0,1.539076099
Kitsap Lake,2007,2.380211242,1.662757832,0.381380097,0.595803839,0,1.029383778
Vernon Lake,2007,3.090610708,2.130333768,0.736707615,0.283644636,0.063287254,0.447158031
Pere Marquette Lake,2007,2.79518459,1.491361694,0.878465206,0.758275677,0.010385272,1.113943352
Farias Lake,2007,2.906873535,1.763427994,0.632447558,0.223210195,0,0.716003344
Matt Warner,2007,3.08278537,2.117271296,0.336507659,0.135682148,0.000265954,0.838849091
Clark Canyon Reservoir,2007,2.564666064,1.301029996,0.315096691,0.262173063,0.004220724,1.309630167
Laurel Lake,2007,2.644438589,1.51851394,1.116012669,0.260251523,0.024165882,0.880813592
Big Lake,2007,1.707570176,0.84509804,0.408737854,0.34979003,0,1.328379603
Lake of the Ozarks,2007,2.890979597,1.959041392,0.80360851,0.260714506,0.078758627,1.491361694
Ashurst,2007,2.927370363,2.269512944,0.377258332,0.129515884,0,0.69019608
Warner Lake,2007,2.689308859,0.77815125,1.020465032,0.818225894,0.042247126,1.049218023
Cheatham Lake,2007,2.92890769,2,1.008414866,0.216365003,0.03068871,0.875061263
Forestville Basin,2007,2.550228353,0.84509804,0.725255241,0.849347144,2.04344E-05,0.857332496
Loyalton Dam,2007,4.087852375,2.952792443,0.531071445,0.381898885,0.051523602,0.176091259
Douglas Lake,2007,2.431363764,1.278753601,0.929367073,0.2627772,0.025128669,1.130333768
Caruth Lake,2007,2.7084209,1.204119983,0.807669974,0.409403411,0.034371538,0.146128036
Feather Lake,2007,3.018700499,1.556302501,0.420886585,0.240549248,0,0.954242509
Tims Lake,2007,2.564666064,0.954242509,1.078783697,1.173186268,0.025138976,0.875061263
Heritage Lake,2007,2.530199698,1.255272505,1.178562009,0.194794011,0.093494364,0.995635195
Lake Kampeska,2007,2.963315511,2.645422269,0.574764092,0.444725929,0.047912927,0.579783597
Bridge Lake,2007,2.50242712,0.903089987,0.789599527,0.229852365,0.006988185,1.041392685
Lake Blanchard,2007,2.336459734,1.301029996,0.468049685,0.278041385,0,0.903089987
Lake Byron,2007,3.290034611,2.484299839,0.573614094,0.352245383,0.092834943,0.361727836
Bushwacker,2007,2.875061263,1.633468456,0.83807985,0.24792816,0.112969255,0.681241237
Clark Co. Lake,2007,2.751279104,0.84509804,0.871792302,0.467017966,0.018402973,0.602059991
Donnell Lake,2007,2.859738566,0.954242509,1.13062594,0.761372136,0.040482872,1.283301229
Sconti Lake,2007,2.281033367,1.113943352,1.062934919,0.224994973,0.000108567,0.826074803
Arrow Tank,2007,2.765668555,1.447158031,0.64080249,0.328464144,0.005969584,0.568201724
Lake Mcclure,2007,1.903089987,0.602059991,0.244843292,0.297015745,7.68458E-07,1.707570176
,2007,3.944680034,2.645422269,0.561007229,0.334905428,0.015061665,0.230448921
Wyoming Hereford Ranch Reservoir Number 2,2007,3.546172368,3.186956335,0.400887307,0.227109743,0.000452996,0.643452676
Lake Lancelot,2007,3.108226656,1.748188027,1.034518739,0.165234472,0.089550142,0.977723605
Lake Griffin,2007,3.546172368,1.662757832,0.795974801,0.93191618,0.008527108,0.342422681
,2007,2.832508913,1.785329835,0.874460763,0.167317335,0.040484354,0.414973348
North Turn Lake,2007,3.162564407,1.73239376,0.767753524,0.565829515,0.065311821,0.568201724
Barker Reservoir,2007,2.198657087,0.903089987,0.483084464,0.170002179,1.26956E-05,1.556302501
Edwin A Pape,2007,2.977723605,1.832508913,0.791978908,0.376576957,0.098477729,0.748188027
Coursey Pond,2007,3.333850145,2.096910013,1.13414147,0.234224434,0.052169276,0.041392685
Big Lake,2007,2.389166084,0.903089987,0.683951626,0.639309824,0,0.963787827
Turquoise Lake,2007,2.120573931,0.698970004,0.352876719,0.300289756,0,1.544068044
Navajo Lake,2007,2.428134794,0.84509804,0.356172763,0.24501906,0,0.544068044
Robinson Lake,2007,2.810904281,1.491361694,1.106540373,0.555715973,0.093881049,1.181843588
Saddle Lake,2007,2.781036939,1.041392685,1.051991843,0.3643897,0.011342715,0.954242509
Kincaid Lake,2007,2.739572344,1.875061263,1.191429494,0.181843588,0.029163084,0.653212514
Nicasio Reservoir,2007,2.897627091,1.770852012,0.391810721,0.380669886,0.000100795,1.190331698
Lake Brighton,2007,2.783188691,1.51851394,1.059693489,1.48578343,0.008197538,0.477121255
Portage Reservoir,2007,2.700703717,0.301029996,1.675265996,0.204119983,0.001383375,0.633468456
Killarney Lake,2007,2.146128036,1,0.328109259,0.400135425,0,0.698970004
Caddo Lake,2007,2.781755375,1.707570176,0.925226204,0.21108859,0.023274612,0.491361694
Stony Creek Lake,2007,2.729974286,1.278753601,1.066854038,1.032081349,0.021249082,0.799340549
Lake Hefner,2007,2.84509804,2.08278537,0.775808545,0.291410013,0.005018897,0.973127854
Ferguson Lake,2007,2.798650645,1.69019608,0.76596709,0.224566978,0.000978647,0.477121255
Willard Bay Reservoir,2007,2.786751422,1.84509804,0.43884277,0.20729041,0.037509756,0.477121255
Long Lake2,2007,3.192846115,1.447158031,0.595452835,0.334783055,0.026253561,0.342422681
North Fork Lake,2007,1.959041392,0.903089987,0.522376215,0.120321813,0,1.614897216
Lake Kittamagundi,2007,3.432969291,2.408239965,1.1418053,0.175396679,0.021124131,0.079181246
Clark State Fishing Lake,2007,2.916453949,1.755874856,0.51644972,0.203176666,0.081349397,0.934498451
Lake Myrtle,2007,2.924279286,1.662757832,0.768486799,0.254560218,0.007404989,0.556302501
Round Lake,2007,2.725911632,1.230448921,1.11539449,0.53529412,0.085969639,1.255272505
Smith Lake,2007,3.442009159,2.392696953,0.388997119,0.144463295,0.00094542,0.414973348
Mossy Lake,2007,2.624282096,1.322219295,0.926079032,0.113924895,0.021341999,0.322219295
Governor Bond Lake,2007,3.134177108,2.336459734,0.991181255,0.236557236,0.125170356,0.977723605
Boulder Reservoir,2007,2.359835482,1.380211242,0.415524393,0.151073254,0.017332361,0.84509804
Creedman Reservoir,2007,3.499687083,3.053078443,0.271347241,0.211249346,0.053981404,0
Lake Blaine,2007,2.298853076,0.301029996,0.340863944,0.22683779,0.012263861,1.602059991
Crescent Lake,2007,3.085290578,1.880813592,0.835992206,0.955303799,0.003546638,0.568201724
Big Spring Reservoir,2007,3.02489596,2.716837723,0.122050801,0.366082261,0,0
Indian Creek Reservoir,2007,2.705007959,1.51851394,0.871046111,0.259570967,0.001693303,0.799340549
Hogan Reservoir,2007,2.367355921,1.079181246,0.328865926,0.230448921,0.000979074,0.176091259
Rock Lake,2007,3.32056168,1.875061263,1.107570159,1.04483926,0.052097599,0.544068044
Lake Konawa,2007,2.830588669,1.342422681,0.790717237,0.112562852,0.019252305,0.954242509
Crooked Cr Watershed #3,2007,2.146128036,0.77815125,0.975868546,0.161417245,0.005621017,0.968482949
Echo Reservoir,2007,2.574031268,1.431363764,0.409092366,0.345516962,0.005352463,1.276461804
Lake Albert,2007,3.610234175,2.517195898,0.580005629,0.508142111,0.08506395,0.322219295
Lake McBride,2007,3.368286885,1.602059991,0.964860752,0.296106734,0.079897001,1.127104798
Chimney Reservoir,2007,2.764922985,2.481442629,0.190973922,0.296819028,0.000467626,0.84509804
Sparks Lake,2007,2.212187604,1.568201724,0.448465271,0.545307116,0,0.477121255
Slack Reservoir,2007,2.567026366,1.176091259,0.983424362,0.538418122,0.002318051,0.544068044
Blomgren,2007,2.919601024,1.579783597,0.673517183,1.13768027,0,0.255272505
Ashton Reservoir,2007,2.252853031,1.505149978,0.412953812,0.263042904,0.003609335,0.903089987
